Party	handicapped_infants	water_project_cost_sharing	adoption_of_the_budget_resolution	physician_fee_freeze	el_salvador_aid	religious_groups_in_schools	nti_satellite_test_ban	aid_to_nicaraguan_contras	mx_missile	immigration	synfuels_corporation_cutback	education_spending	superfund_right_to_sue	crime	duty_free_exports	export_administration_act_sa
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	w
democrat	y	y	y	n	n	n	y	y	y	y	n	n	y	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	y	w	n	y	y	y	n	n	n	y	n	y	w	y	n	y
republican	y	y	n	y	y	y	n	n	n	n	n	n	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	n	y	n	n	n	y	y	y	y	y	n	y	n	y	y
democrat	y	y	y	n	n	n	y	y	y	n	w	n	n	n	n	w
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	n	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	n	w
democrat	y	y	y	n	n	n	y	y	w	n	y	n	n	n	y	w
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y
democrat	y	n	y	n	n	n	y	y	w	n	n	n	n	n	n	w
democrat	y	y	y	n	n	n	y	y	n	n	n	n	n	y	n	y
republican	n	w	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y
republican	n	y	n	y	y	y	n	w	n	n	n	y	y	y	n	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	w	w
republican	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	y	y	n	n	y	w	y	n	n	y	y	n	y	n	w
republican	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	n
republican	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	w
democrat	y	y	y	n	n	w	y	y	y	y	n	n	n	n	y	w
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	w
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	n	y
democrat	y	y	y	n	n	n	y	y	y	n	y	w	n	n	n	y
republican	y	y	n	y	y	y	y	n	n	n	n	y	y	y	n	y
republican	n	y	n	y	y	y	y	n	n	n	y	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	w	y	n	n	n	y	y	y	n	n	n	y	n	y	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	y	n	y	w
republican	y	y	y	y	n	n	y	y	y	y	y	n	n	y	n	y
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	w
republican	y	n	y	y	y	n	y	n	y	y	n	n	y	y	n	y
democrat	y	n	y	n	n	y	y	y	y	y	y	n	n	y	y	y
democrat	n	y	y	y	y	y	n	n	n	y	y	n	y	y	n	n
democrat	n	y	y	n	y	y	n	n	n	y	y	y	y	y	n	w
democrat	n	y	y	y	y	y	n	y	y	y	y	y	y	y	n	y
democrat	y	y	y	n	y	y	n	n	n	y	y	n	y	y	n	y
republican	n	n	n	y	y	n	n	n	n	y	n	y	y	y	n	n
democrat	y	n	y	n	n	y	y	y	y	y	n	y	n	y	n	w
democrat	y	n	y	n	n	n	y	y	w	y	y	y	n	y	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	n	w	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	n	n	y	n	y	y	n	n	n	y	y	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	n	y	y	n	y	y	y	n	y	y	y	n	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	w	y	y	n	w
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y
democrat	y	y	y	n	n	n	y	y	n	y	y	n	n	w	y	y
democrat	y	n	y	n	n	n	y	n	y	y	y	n	n	n	y	y
democrat	y	n	y	n	y	y	n	n	n	n	n	n	n	n	n	y
democrat	y	n	y	n	y	y	n	w	w	n	y	w	w	w	y	y
democrat	n	n	w	n	y	y	n	n	n	n	y	y	y	y	n	y
democrat	y	n	n	n	y	y	y	n	n	y	y	n	n	y	n	y
democrat	y	y	y	n	n	y	y	y	y	y	n	n	n	n	n	y
republican	n	n	n	y	y	y	n	n	n	y	w	y	y	y	n	n
democrat	y	n	n	n	y	y	n	n	n	n	y	y	n	y	n	y
democrat	y	n	y	n	y	y	y	n	n	n	y	n	n	y	n	y
democrat	y	n	y	n	y	y	y	n	w	n	y	n	y	y	y	w
democrat	y	n	n	n	y	y	w	n	w	n	n	n	n	y	w	n
democrat	w	w	w	w	n	y	y	y	y	y	w	n	y	y	n	w
democrat	y	y	y	n	n	n	n	y	y	n	y	n	n	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
republican	n	w	w	w	w	w	w	w	w	w	w	w	w	y	w	w
democrat	y	w	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	w	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	n	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y
republican	n	w	n	y	y	y	n	n	n	y	n	y	y	y	n	y
democrat	n	w	y	n	n	y	y	y	n	y	n	n	n	n	y	w
republican	n	w	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	w	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	n	w	y	n	w	w	y	y	y	y	w	w	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	n	y	n	n	n	y	y
republican	y	y	y	y	y	n	y	n	n	n	n	y	y	y	n	y
democrat	n	y	y	n	n	n	n	y	y	y	y	n	n	n	y	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	n	w	w	y	y	y	n	n	n	y	n	y	y	y	w	y
republican	n	w	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	y
republican	y	w	n	y	y	y	n	y	n	n	n	y	y	y	n	y
democrat	n	w	y	n	n	n	y	y	y	n	n	n	n	n	y	y
republican	n	w	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	w	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	n	w	y	n	n	n	y	y	y	y	y	n	n	y	y	y
democrat	n	w	y	n	n	y	n	y	n	y	y	n	n	n	y	y
democrat	w	w	y	n	n	n	y	y	w	n	w	w	w	w	w	w
democrat	y	w	y	n	w	w	y	y	y	n	n	n	n	n	y	w
democrat	n	n	y	n	n	y	n	y	y	y	n	n	n	y	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	w
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	w
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n
republican	n	y	n	y	y	y	n	n	n	y	y	y	y	n	n	y
democrat	n	w	y	n	n	y	y	y	y	y	n	n	n	y	y	y
democrat	n	n	y	n	n	y	y	y	y	y	n	n	n	y	n	y
democrat	y	n	y	n	n	y	y	y	y	n	n	n	n	n	y	y
republican	n	n	n	y	n	n	y	y	y	y	n	n	y	y	n	y
republican	n	n	n	y	y	y	y	y	y	y	n	y	y	y	w	y
republican	n	n	n	y	y	y	y	y	y	y	n	y	y	y	n	y
democrat	w	y	n	n	n	n	y	y	y	y	y	n	n	y	y	y
democrat	n	w	n	n	n	y	y	y	y	y	n	n	n	y	n	w
democrat	n	n	y	n	n	y	y	y	y	y	n	n	n	y	w	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	n	n	n	n	n	n	y	y	y	y	n	y	y	y	y	y
republican	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	y
democrat	n	n	y	n	n	n	y	y	y	y	n	n	y	n	y	y
republican	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y
democrat	y	y	w	y	y	y	n	n	y	n	y	w	y	y	n	n
democrat	n	y	y	n	n	y	n	y	y	y	y	n	y	n	y	y
democrat	n	n	y	n	n	y	y	y	y	y	y	n	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	y	y	n	y	y	y	n	w	n	n	y	y	y	y	n	n
republican	y	y	n	y	y	y	y	n	n	n	n	y	y	y	n	n
democrat	n	y	y	n	n	y	n	y	y	n	y	n	w	w	w	w
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	n	y	y	n	w	y	y	y	y	y	y	n	n	w	n	w
democrat	n	y	n	n	y	y	n	n	n	n	n	y	y	y	y	y
democrat	n	n	n	n	y	y	y	n	n	n	n	y	y	y	n	y
democrat	n	y	y	n	y	y	y	n	n	n	y	y	y	y	n	y
republican	n	y	n	y	y	y	y	n	n	n	n	y	y	y	n	y
democrat	y	y	n	n	y	y	n	n	n	y	y	y	y	y	n	w
democrat	n	y	y	n	n	y	y	y	y	y	y	n	y	n	y	w
republican	y	n	y	y	y	y	y	y	n	y	n	y	n	y	y	y
republican	y	n	y	y	y	y	y	y	n	y	y	y	n	y	y	y
democrat	n	n	y	y	y	y	n	n	y	n	n	n	y	y	y	w
democrat	y	n	y	n	n	n	y	y	y	y	y	n	n	y	n	y
democrat	y	n	y	n	n	n	w	y	y	w	n	n	n	n	y	w
republican	n	w	n	y	y	y	n	n	n	y	n	y	y	y	n	y
democrat	n	y	y	n	n	n	y	y	y	y	n	n	w	n	y	y
democrat	n	n	n	n	y	y	n	n	n	y	y	y	y	y	n	y
democrat	y	w	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	n	y	y	n	n	n	y	y	y	y	n	n	n	n	y	y
republican	n	n	y	y	n	n	y	y	y	y	n	n	n	y	y	y
democrat	n	n	y	n	n	n	y	y	y	y	y	w	n	n	y	y
democrat	w	n	y	n	n	n	y	y	y	y	y	w	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y
democrat	w	w	y	n	n	n	y	y	y	w	w	n	n	n	w	w
democrat	n	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y
democrat	y	w	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	w	w	w	w	w	w	w	w	y	w	w	w	w	w	w	w
democrat	n	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	y	n	w	n	n	y	y
democrat	n	y	y	n	n	n	y	y	y	y	y	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
republican	y	w	n	y	y	y	y	y	n	n	n	y	w	y	w	w
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y
republican	n	w	n	y	y	y	n	n	n	n	n	y	y	y	n	w
republican	n	y	n	y	y	y	n	w	n	y	n	y	y	y	n	w
democrat	n	n	n	n	n	y	y	y	y	n	y	n	n	y	y	y
democrat	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	n	n	y	n	n	y	y	w	y	y	y	n	n	n	y	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	w
democrat	n	n	y	n	n	y	y	y	y	n	y	y	n	y	y	w
republican	n	w	y	y	y	y	n	n	n	y	n	n	n	y	n	y
democrat	n	n	y	n	n	n	y	y	y	y	y	n	w	n	y	w
democrat	y	y	n	n	n	n	y	y	w	n	y	n	n	n	y	w
democrat	n	n	y	n	n	n	y	y	y	n	n	n	n	y	y	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	y	n	y	n	n	y	y	y	y	y	y	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y
republican	n	n	y	y	y	y	y	n	n	n	n	y	y	y	n	y
democrat	n	n	y	n	n	y	y	y	y	y	n	y	n	n	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	y
republican	y	w	n	y	y	y	y	n	n	y	n	y	y	y	n	y
democrat	n	n	y	n	n	n	y	y	y	n	n	w	n	n	y	y
democrat	y	y	y	n	n	n	y	y	y	y	y	n	n	n	n	y
democrat	n	n	y	n	n	y	y	y	y	n	n	n	n	n	y	y
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y
democrat	n	n	y	n	n	n	y	y	y	n	y	n	n	n	y	y
democrat	n	y	y	n	n	y	n	y	y	n	y	n	y	n	y	y
republican	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y
democrat	n	y	y	y	y	y	n	n	n	y	y	y	y	y	y	w
democrat	y	y	y	n	y	y	n	n	w	y	n	n	n	y	y	w
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	w	y	n	n	n	y	y	y	n	w	n	n	n	y	w
democrat	n	y	y	n	n	n	n	y	y	n	y	n	n	y	y	y
democrat	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	n	y	y	n	y	y	n	n	n	n	y	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	n	y	n	n	n	y	w
republican	n	n	n	y	y	n	n	n	n	n	n	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	y	n	w	y	y	n	n
republican	n	w	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	n	n	y	n	n	y	y	y	y	n	y	n	n	y	y	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	w	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	w	n	y
republican	n	y	y	y	y	y	y	n	y	y	n	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
republican	n	y	n	y	y	y	n	n	y	y	n	y	y	y	n	y
democrat	n	y	y	n	n	n	y	y	n	n	y	n	n	n	y	w
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y
democrat	n	n	y	n	n	y	y	y	y	y	n	y	n	y	y	w
republican	n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	y
democrat	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	y	n	y	n	n	y	y	y	n	n	n	y	y	n	n	y
democrat	y	y	y	n	n	n	y	y	w	y	n	n	n	n	y	w
republican	n	n	n	y	y	y	y	n	n	y	n	n	n	y	y	y
republican	n	n	n	y	n	y	y	w	y	n	n	y	y	y	n	y
democrat	y	n	y	n	n	n	y	y	y	y	y	n	n	y	y	y
republican	n	n	n	n	y	y	y	n	n	n	n	w	n	y	y	y
democrat	n	y	y	n	n	n	y	y	w	y	n	n	y	n	y	y
democrat	y	n	y	n	n	n	n	y	y	y	n	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y
democrat	n	n	y	n	y	n	y	y	y	n	n	n	n	y	w	y
republican	n	y	n	y	y	y	w	n	n	n	n	w	y	y	n	n
republican	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w	w
democrat	y	n	y	n	n	n	y	y	w	n	y	n	n	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	y	y	y	n	n	y	y	y	y	n	n	n	n	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	n	y
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	y	y	y
republican	n	n	n	y	y	n	n	n	n	n	n	y	n	y	n	n
republican	n	n	n	y	y	n	n	n	n	n	n	y	n	y	w	y
democrat	n	n	y	n	n	n	y	y	y	n	y	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	n	y
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	n	y
democrat	y	n	y	n	n	w	y	y	y	n	w	w	n	w	w	w
democrat	y	n	y	n	n	n	y	y	y	y	n	n	w	n	y	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	y
republican	y	n	n	n	n	n	y	y	y	y	n	n	n	y	n	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	n	y
democrat	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	n	y	y	n	n	y	y	y	y	n	w	n	n	n	n	y
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	w
republican	n	n	n	y	y	n	y	y	n	y	n	y	y	y	w	y
republican	y	n	n	y	y	n	y	n	n	y	n	n	n	y	y	y
democrat	n	n	y	n	y	y	n	n	n	n	w	n	y	y	n	n
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	y	n
republican	n	n	y	y	y	y	y	y	n	y	n	n	n	y	n	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	n	n	y	n	n	n	y	y	y	y	n	n	n	y	n	y
republican	y	n	y	y	y	y	y	y	n	n	n	n	n	y	n	w
republican	y	n	n	y	y	y	n	n	n	y	n	w	y	y	n	n
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	n	n	y	n	n	y	y	y	y	y	y	n	n	n	w	y
democrat	n	n	y	n	n	y	y	y	y	y	y	n	n	n	y	y
democrat	n	n	y	n	n	y	w	y	w	y	y	y	n	y	y	w
democrat	y	y	y	w	n	y	y	y	y	n	y	n	y	n	w	y
democrat	y	y	y	n	y	y	n	y	n	y	y	n	y	y	y	y
democrat	y	y	y	n	y	y	n	y	n	y	y	n	y	y	n	w
democrat	y	n	y	n	w	y	w	y	y	y	n	n	y	y	n	y
democrat	y	n	y	n	n	y	y	y	y	y	n	w	n	y	n	y
democrat	y	n	y	n	n	y	y	y	n	y	y	n	y	y	y	y
democrat	y	y	y	n	n	y	y	y	y	y	y	n	y	y	y	y
democrat	n	y	y	n	n	y	y	y	n	y	y	n	y	y	n	w
republican	n	y	n	y	y	y	w	w	n	y	n	y	w	w	w	w
republican	n	n	y	y	y	y	n	n	n	y	n	y	y	y	y	y
democrat	y	y	y	n	n	y	y	y	y	y	n	n	w	n	y	w
democrat	n	y	n	n	n	n	y	y	y	y	y	n	n	n	y	y
democrat	n	y	y	n	n	y	y	y	y	y	n	n	y	y	y	y
republican	n	n	n	y	y	n	y	y	y	y	n	y	y	y	n	y
democrat	n	n	w	n	n	y	y	y	y	n	n	n	n	n	y	y
republican	n	n	n	y	y	y	y	n	n	y	n	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	w
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	y	n	y	n	n	y	y	y	y	n	n	n	n	y	n	w
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	n	n	n	n	y	y	y	y	y	n	n	n	y	y	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	y	n
democrat	n	n	y	n	n	y	y	y	y	y	n	n	y	n	n	y
democrat	y	y	y	n	n	n	y	y	y	y	n	n	n	n	y	y
republican	n	y	y	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	n	y	n	y	y	y	y	y	n	n	y	y	y	y	y	y
republican	n	y	y	y	y	y	y	w	n	n	n	n	w	w	y	w
democrat	n	n	n	n	n	y	n	y	y	n	y	y	y	y	y	n
democrat	y	n	n	n	n	n	y	y	y	y	n	n	n	n	y	y
democrat	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	n	y	y	n	n	y	n	y	y	y	n	n	y	y	n	y
democrat	y	y	y	n	n	n	y	y	y	y	n	n	y	n	n	y
democrat	y	y	y	n	w	y	n	w	n	n	y	n	y	y	n	w
democrat	y	y	y	n	y	y	n	y	w	y	n	n	y	y	n	w
republican	n	y	n	y	y	y	n	n	n	n	y	y	y	y	n	n
democrat	n	y	n	n	y	y	n	n	w	n	n	y	y	y	n	y
democrat	y	y	n	y	n	n	y	y	y	n	y	n	n	y	n	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	y	y	y	n	n	n	y	y	y	n	y	n	n	n	n	y
democrat	y	w	y	n	n	y	y	y	y	y	n	n	n	n	y	w
republican	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	w	y	n	n	n	y	y	y	n	n	n	n	n	y	w
democrat	y	n	y	n	n	n	y	y	y	n	y	n	n	n	y	w
democrat	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	n	y	y	n	n	y	y	y	w	n	y	y	n	n	y	y
republican	n	n	n	y	y	y	n	n	n	y	y	y	y	y	n	w
democrat	n	n	y	n	n	y	y	y	n	n	y	n	n	y	w	y
democrat	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y
democrat	y	n	y	n	n	n	y	y	y	y	n	n	n	y	y	y
republican	y	n	n	y	y	y	n	n	n	n	y	y	y	y	n	n
republican	n	n	n	y	y	y	n	n	n	y	y	y	n	y	n	y
democrat	n	w	y	w	n	y	y	y	y	y	y	n	w	w	y	y
democrat	n	y	y	n	y	w	y	n	n	y	y	n	y	n	y	y
republican	n	n	n	y	y	n	y	n	y	y	n	n	n	y	n	y
democrat	n	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y
republican	n	n	n	y	y	y	y	n	n	y	n	y	n	y	y	y
republican	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y
republican	y	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n
democrat	y	n	y	n	n	n	y	y	y	y	n	y	n	n	y	w
republican	n	y	y	y	y	y	y	y	y	n	n	y	y	y	n	y
democrat	n	y	n	n	n	y	y	n	y	n	y	n	n	n	y	y
republican	n	n	y	y	y	y	y	y	y	y	n	y	y	y	y	y
democrat	n	y	n	y	n	y	y	y	y	n	y	n	y	n	y	w
republican	n	n	y	y	y	y	y	n	n	y	y	y	y	y	n	y
democrat	n	y	y	n	n	y	y	y	y	y	n	w	n	n	y	y
republican	y	n	y	y	n	n	n	y	y	y	n	n	n	y	y	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n
democrat	y	y	y	n	n	y	y	y	y	y	y	y	y	y	n	w
republican	n	n	n	y	y	y	n	n	n	y	w	y	y	y	n	y
democrat	y	n	y	n	n	y	y	y	y	y	n	n	y	n	n	y
democrat	y	n	y	n	y	y	y	n	y	y	n	n	y	y	n	w
democrat	y	y	y	n	n	y	y	y	y	y	y	y	y	n	n	y
republican	y	y	n	y	y	y	n	n	n	y	y	n	y	n	n	n
republican	y	y	n	y	y	y	n	n	n	n	y	n	y	y	n	y
democrat	n	y	n	n	y	y	n	n	n	y	y	n	y	y	n	n
democrat	y	n	y	n	n	n	y	y	n	y	y	n	n	n	n	w
democrat	y	y	y	n	y	y	y	y	n	y	y	n	n	n	y	w
democrat	n	y	y	n	n	y	y	y	n	y	n	n	n	n	y	y
republican	n	y	n	y	y	y	n	n	n	n	n	n	y	y	n	y
democrat	y	y	y	n	w	y	y	y	n	y	w	w	n	n	y	y
democrat	y	y	y	n	w	n	y	y	y	y	n	n	n	n	y	w
democrat	n	y	y	y	y	y	n	n	n	n	y	y	w	y	n	n
democrat	n	y	y	w	y	y	n	y	n	y	w	n	y	y	w	y
republican	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	n	y	n	y	y	y	n	n	n	n	y	y	n	y	n	n
democrat	y	w	y	n	n	n	y	y	y	n	y	n	n	n	y	y
republican	n	y	n	y	y	y	w	w	n	n	w	w	y	w	w	w
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y
republican	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	y
democrat	y	y	y	n	n	y	w	y	y	n	y	n	y	n	y	y
democrat	y	y	y	n	y	y	y	y	y	y	y	n	y	y	n	w
democrat	y	y	n	y	y	y	n	n	n	n	y	n	y	y	n	w
democrat	y	y	y	n	y	y	n	y	y	y	y	n	n	n	n	y
